,Column Labels,,,,,,,,,
"Blue Ridge Bank, National Association",,64000,100000,3590000,,1,2,3,3754000,6
First State Community Bank,795000,376000,1315000,1258500,2,3,6,7,3744500,18
Western Nebraska Bank,151000,2935100,172000,470000,3,10,3,4,3728100,20
Gather FCU,335000,2289500,120000,976800,4,12,3,11,3721300,30
First Farmers Bank and Trust,289000,65000,2777500,587000,1,1,5,5,3718500,12
Macatawa Bank,,990000,2250000,470000,,2,3,2,3710000,7
Bank of Travelers Rest,645000,1701000,671000,691000,2,8,5,3,3708000,18
Union Bank,150000,1118900,2194800,230000,3,20,26,3,3693700,52
Community Bank and Trust of Florida,,,,3692800,,,,3,3692800,3
Mascoma Bank,56000,1420000,1122000,1089900,1,7,8,11,3687900,27
Bank & Trust Company,3000000,82500,604000,,1,1,1,,3686500,3
Huron Community Bank,90000,482100,2811000,303000,1,3,4,1,3686100,9
CentreBank,2739000,945000,,,1,1,,,3684000,2
BankFive,290000,1027000,1329400,1028500,3,11,13,20,3674900,47
CorTrust Bank National Association,436800,299000,2380000,550000,3,3,9,4,3665800,19
Union Savings Bank,455000,2735000,235000,240000,7,15,5,2,3665000,29
Champion Bank,,,,3657000,,,,5,3657000,5
Planters First Bank,,3255000,,380000,,2,,1,3635000,3
Florida Parishes Bank,1320000,2312600,,,2,1,,,3632600,3
Wasatch Peaks FCU,530200,1092000,1389600,613700,4,6,6,6,3625500,22
Oak Valley Community Bank,,,,3625000,,,,4,3625000,4
"Security Bank, S.B.",204000,880000,1526400,999800,2,3,4,3,3610200,12
Aspire Financial,200000,1574000,300000,1530000,2,11,1,9,3604000,23
The First National Bank of Moose Lake,,3600000,,,,1,,,3600000,1
Silvergate Bank,3600000,,,,1,,,,3600000,1
Alpine Bank & Trust Co.,401000,397800,1354100,1417400,2,5,10,9,3570300,26
Lakeview Bank,1925000,1321600,319100,,3,7,2,,3565700,12
Jordan FCU,,1989800,377800,1162000,,6,7,11,3529600,24
Adams Bank & Trust,,656000,2437600,431000,,4,13,4,3524600,21
Willamette Community Bank,,715000,2600000,200000,,2,2,1,3515000,5
The Paducah Bank and Trust Company,,824800,422000,2263300,,7,4,16,3510100,27
United Cumberland Bank,,1590000,565000,1352000,,2,3,5,3507000,10
Hancock Bank & Trust Company,1041500,2460700,,,7,9,,,3502200,16
BLC Community Bank,175000,350000,451500,2516000,2,1,3,5,3492500,11
"CIT Bank, National Association",,214000,1297700,1977200,,1,4,4,3488900,9
Affinity FCU,,2986300,500000,,,1,2,,3486300,3
The Citizens National Bank of Bluffton,,150000,2695000,640500,,1,3,3,3485500,7
Security State Bank of Aitkin,235000,1051100,1336500,860500,6,18,13,7,3483100,44
121 Financial CU,269000,2349000,632300,225000,1,2,2,1,3475300,6
Unity National Bank of Houston,1548000,237000,250000,1422000,2,2,1,4,3457000,9
General Electric CU,190000,413900,1252700,1589700,2,4,5,8,3446300,19
Bank Forward,25000,1709900,432000,1275000,1,8,6,7,3441900,22
First Capital Bank,,913000,1026100,1500000,,2,4,1,3439100,7
Fresno Community Development Financial Institution,50000,981100,1937800,469000,1,6,21,8,3437900,36
Union County Economic Development Corporation,177500,1018500,1371500,860000,2,8,9,5,3427500,24
Alma Bank,150000,1335000,1590000,351000,1,5,4,1,3426000,11
The First National Bank & Trust Co of Iron Mountain,439000,465400,2394100,106100,1,3,3,1,3404600,8
MinnStar Bank National Association,250000,711300,1733000,710000,4,9,11,7,3404300,31
OSB Community Bank,,157000,800142,2444864,,1,1,6,3402006,8
"Beverly Bank & Trust Company, National Association",1815000,635000,944000,,7,1,4,,3394000,12
Wayne Savings Community Bank,25000,919600,1995100,435000,1,6,9,3,3374700,19
InFirst Bank,156600,1152000,1770000,290000,5,8,6,1,3368600,20
Greenwood CU,330000,1152500,551400,1329000,3,14,8,13,3362900,38
State Bank of Lincoln,,2900000,,458700,,1,,1,3358700,2
Continental Bank,,,75000,3271000,,,1,1,3346000,2
Bank of Akron,45000,1642246,475000,1179000,2,13,4,10,3341246,29
Merchants & Planters Bank,,354000,367988,2616000,,2,4,3,3337988,9
National Bank of Middlebury,535000,1568200,830000,400000,3,7,9,7,3333200,26
Greenfield Co-Operative Bank,774200,210000,1132100,1199000,7,6,8,9,3315300,30
Mountain View Bank of Commerce,50000,950000,1296000,1017000,1,4,6,7,3313000,18
VisionBank of Iowa,2040000,1111700,148000,,2,1,1,,3299700,4
Centreville Bank,375000,1765000,1155000,,2,12,6,,3295000,20
Emery FCU,,2479100,,809300,,2,,1,3288400,3
Homestead Savings Bank,,3280000,,,,2,,,3280000,2
Meridian Bank,,1235500,2028600,,,1,2,,3264100,3
Bank Star,291900,2585100,384000,,2,2,4,,3261000,8
BankOrion,,,230000,3029000,,,1,5,3259000,6
LGE Community CU,,,,3255000,,,,4,3255000,4
The Kearny County Bank,82100,1827513,860401,462800,3,9,10,6,3232814,28
Enterprise Bank of South Carolina,2925000,,306500,,1,,1,,3231500,2
Hendricks County Bank and Trust Company,114700,257500,2487600,370000,1,4,5,2,3229800,12
Marine Bank,100000,1959900,757800,395200,2,8,2,2,3212900,14
"Verve, a Credit Union",60800,724700,275000,2152000,1,7,3,4,3212500,15
Bank of Bozeman,463000,700000,500000,1547105,2,6,2,2,3210105,12
Sunnyside Federal Savings and Loan Association of Irvington,,1117600,730000,1350000,,2,1,2,3197600,5
Bank of Bartlett,125000,403000,315000,2350000,1,3,1,1,3193000,6
"CapitalSpring SBLC, LLC",,,1870000,1323000,,,2,3,3193000,5
Easthampton Savings Bank,,70000,1296700,1811500,,3,14,18,3178200,35
Milwaukee Economic Development Corporation,,1524600,550000,1102000,,7,3,7,3176600,17
RCB Bank,263000,1767900,760000,380000,2,6,3,3,3170900,14
"First State Bank of St. Charles, Missouri",,,2376900,782000,,,8,3,3158900,11
Greenfield Savings Bank,747200,760200,1040000,611000,6,10,9,7,3158400,32
The Lyon County State Bank,710000,1816300,98000,523000,3,5,2,1,3147300,11
BayCoast Bank,525000,993000,804000,804600,5,8,7,5,3126600,25
State Bank of Table Rock,,2179000,238743,700462,,11,7,4,3118205,22
Americas United Bank,,1215000,1402000,500000,,2,2,3,3117000,7
Denmark State Bank,2416600,210000,400000,90000,5,1,5,3,3116600,14
Somerset Trust Company,,2771300,,340000,,2,,1,3111300,3
Farmers National Bank,,1700400,,1404700,,2,,1,3105100,3
ESSA Bank & Trust,2144200,,455000,500000,1,,1,4,3099200,6
"KS Bank, Inc.",501000,2597000,,,1,2,,,3098000,3
Ambler Savings Bank,,1120000,1975500,,,1,3,,3095500,4
Oregon Pacific Banking Co. d/b/a Oregon Pacific Bank,,1236800,1257000,575156,,5,8,1,3068956,14
Bank of Mauston,257900,1593200,420000,796200,3,11,2,5,3067300,21
Arbor Financial CU,1170000,70000,1144000,681800,1,2,3,4,3065800,10
Edgewater Bank,,,480000,2575000,,,2,1,3055000,3
Central Bank of Oklahoma,,335000,2027400,691000,,2,10,2,3053400,14
Coulee Bank,467500,371500,2148000,55000,5,3,5,1,3042000,14
The Central Trust Bank,304500,974500,1238300,524500,4,7,13,8,3041800,32
Alliance Bank & Trust Company,,2083100,952000,,,2,1,,3035100,3
North Country FCU,599700,700300,775800,942400,9,16,18,14,3018200,57
First US Bank,2231000,780000,,,2,1,,,3011000,3
"American Founders Bank, Inc.",,2860000,,150000,,1,,1,3010000,2
First National Bank in Howell,,,,3002000,,,,3,3002000,3
"Profinium, Inc.",210000,927200,534600,1330000,3,10,3,3,3001800,19
"Native American Bank, National Association",3000000,,,,1,,,,3000000,1
First State Community Loan Fund,,851000,1137700,1000000,,7,10,9,2988700,26
Calumet Bank,682000,1514000,663000,126500,3,3,3,1,2985500,10
"BIZCapital BIDCO II, LLC",,525000,,2460000,,1,,2,2985000,3
"Citizens Bank of West Virginia, Inc",465000,1980000,540000,,3,1,2,,2985000,6
The Farmers National Bank of Canfield,415000,1467500,781200,320000,1,5,2,4,2983700,12
Cashmere Valley Bank,618000,,1861400,492000,1,,1,4,2971400,6
"PyraMax Bank, FSB",325000,1320000,585000,725000,3,7,6,4,2955000,20
Frontier Bank,500000,1220000,543066,683100,2,2,5,5,2946166,14
"Home Bank, SB",,290000,2655000,,,2,5,,2945000,7
Workers CU,283000,819500,600200,1235000,5,9,8,16,2937700,38
The First National Bank and Trust Company of Vinita,,,,2935000,,,,1,2935000,1
Vermont 504 Corporation,688500,995200,1248200,,7,7,8,,2931900,22
Apex Bank,,489700,373500,2061400,,2,2,5,2924600,9
Ireland Bank,,,,2912200,,,,3,2912200,3
The First National Bank of Elk River,649000,793600,546100,920000,6,9,6,8,2908700,29
Fidelity Co-Operative Bank,,2571000,100000,230000,,6,1,3,2901000,10
Farmers Bank & Trust,140000,505100,912500,1332400,2,7,7,8,2890000,24
Federal Savings Bank,25000,1713000,1101000,50000,1,2,6,1,2889000,10
Vinings Bank,350000,1405000,983200,150000,1,1,2,1,2888200,5
The First National Bank of Northfield,375000,1476300,640000,385000,2,4,4,4,2876300,14
Bank of Glen Ullin,1830000,,364600,679400,6,,4,5,2874000,15
Sentry Bank,372300,1862000,230000,399500,6,17,2,3,2863800,28
R Bank,,1529500,1078000,255000,,1,2,2,2862500,5
Montecito Bank & Trust,,,,2860000,,,,1,2860000,1
Western Bank,,260000,892600,1702100,,1,5,1,2854700,7
"MB Financial Bank, National Association",,350000,450000,2053800,,1,2,1,2853800,4
Lake Country Community Bank,,,1500000,1350000,,,1,1,2850000,2
Ohana Pacific Bank,1850000,550000,150000,270000,2,4,1,1,2820000,8
"Bank of the Rockies, National Association",1930000,,682000,194700,1,,1,1,2806700,3
Florence Bank,95000,224000,1393000,1090000,2,6,19,11,2802000,38
Brunswick Bank & Trust Company,,2800000,,,,1,,,2800000,1
FNBC Bank,50000,1859000,806500,82000,2,9,4,2,2797500,17
Winona National Bank,25000,2766200,,,1,7,,,2791200,8
The State Bank of Faribault,407900,629600,1230000,521000,4,4,7,3,2788500,18
Mechanics and Farmers Bank,1905500,881700,,,7,3,,,2787200,10
Capital Bank,585000,116600,1285100,780400,1,1,2,2,2767100,6
McFarland State Bank,,475000,671000,1617300,,2,2,5,2763300,9
Legacy Bank,607000,1154200,676000,325000,3,6,5,1,2762200,15
Central Bank of Warrensburg,,766000,1004000,989200,,4,3,5,2759200,12
The Bank of Kremlin,160000,850000,830000,917000,1,1,2,4,2757000,8
Timberwood Bank,63800,1566300,659000,466600,2,7,6,3,2755700,18
Ixonia Bank,150000,684500,1386700,516100,1,7,7,4,2737300,19
Buckeye Community Bank,355000,258000,390000,1733000,1,1,1,5,2736000,8
The Dart Bank,139000,2590700,,,1,4,,,2729700,5
Commerce Bank of Arizona,1315200,1406000,,,3,3,,,2721200,6
Timberland Bank,805500,1009600,900800,,6,9,7,,2715900,22
Community Choice CU,330000,633600,1393300,356000,2,7,12,3,2712900,24
Huron Valley State Bank,,710000,205000,1797000,,2,3,7,2712000,12
Community Federal Savings Bank,,1350000,1355000,,,2,1,,2705000,3
Dakota Western Bank,,350000,1350000,1000000,,1,2,1,2700000,4
Atlantic Stewardship Bank,2690000,,,,3,,,,2690000,3
Superior National Bank & Trust Company,,1040000,1648000,,,1,2,,2688000,3
Great American Bank,189600,494700,1264300,730300,1,2,5,4,2678900,12
First Commercial Bank,345000,1413000,354000,550000,1,1,1,2,2662000,5
Alaska USA FCU,,1430000,1110000,120200,,1,5,1,2660200,7
Red River Bank,150000,225000,1664000,612500,2,2,5,3,2651500,12
One American Bank,,730000,500000,1412000,,2,1,2,2642000,5
FNNB Bank,2636300,,,,2,,,,2636300,2
Bryant Bank,1032500,848000,,750000,2,2,,1,2630500,5
Virginia National Bank,,495000,2093400,30000,,4,5,1,2618400,10
Genisys CU,,681100,219000,1718000,,3,2,2,2618100,7
Emprise Bank,425200,805400,600000,782100,3,7,10,6,2612700,26
Bath Savings Institution,,925000,659400,1010492,,3,5,4,2594892,12
The First National Bank of Milaca,156000,,852493,1582500,1,,5,5,2590993,11
Commencement Bank,,200000,1235000,1149600,,1,4,5,2584600,10
Homefield CU,,150000,1868100,565000,,1,9,3,2583100,13
First Security Bank of Helena,1314800,365000,548600,353200,3,3,3,3,2581600,12
Jackson Purchase Agriculture,,1102500,1475300,,,1,2,,2577800,3
"Heritage Bank USA, Inc.",1915000,436000,,220000,3,2,,1,2571000,6
Kerndt Brothers Savings Bank,90500,,1851200,625900,1,,2,1,2567600,4
South Louisiana Bank,,850000,1677300,30000,,5,8,1,2557300,14
Farmers & Merchants Bank & Trust,235000,,520000,1795000,1,,1,1,2550000,3
Central Bank & Trust Co.,,244000,907200,1394000,,2,3,2,2545200,7
"OceanFirst Bank, National Association",,,1887000,650000,,,5,4,2537000,9
United Bank of Iowa,125000,794500,1241000,373000,2,7,8,3,2533500,20
"Triad Bank, National Association",420000,277000,176000,1657000,4,4,2,2,2530000,12
TruBank,925000,,1094000,508500,3,,7,3,2527500,13
People First FCU,,1969000,,554000,,3,,2,2523000,5
Town and Country CU,409000,155900,1063500,881600,3,5,10,7,2510000,25
Colorado Enterprise Fund,250000,1106000,765000,388000,1,6,5,2,2509000,14
Triad Bank,,,1518500,990000,,,3,2,2508500,5
Tompkins Trust Company,185000,780500,160000,1375000,2,6,3,8,2500500,19
Alpine Bank,,400000,458000,1640000,,1,1,3,2498000,5
The Bank of Clovis,270000,1962000,265000,,1,5,2,,2497000,8
Community 1st CU,607100,442500,774600,668500,4,4,9,10,2492700,27
Buckeye State Bank,100000,1923900,467000,,1,3,4,,2490900,8
Mercantile Bank of Michigan,,500000,1974200,,,2,3,,2474200,5
The Leaders Bank,125000,2345000,,,1,3,,,2470000,4
State Bank & Trust Company,310800,607900,1178700,360000,5,9,7,1,2457400,22
Commercial State Bank,465000,250000,1328800,400000,2,1,2,2,2443800,7
Northbrook Bank & Trust Company,,550000,1876500,,,3,8,,2426500,11
1st National Bank,,100000,1655000,660000,,1,13,2,2415000,16
Kaw Valley Bank,192757,1965000,256500,,1,1,1,,2414257,3
Pedestal Bank,405400,532000,250000,1223600,4,2,1,12,2411000,19
First PREMIER Bank,582500,287800,940500,599100,3,2,5,5,2409900,15
Prudential Bank,,,,2400000,,,,1,2400000,1
South Ottumwa Savings Bank,,1741000,655100,,,2,2,,2396100,4
Bank of Eastman,,,1295000,1100000,,,1,1,2395000,2
State Bank of Georgia,2395000,,,,3,,,,2395000,3
Jefferson Bank,,,2392100,,,,2,,2392100,2
Guardian Bank,,178800,100000,2113000,,1,1,3,2391800,5
American Bank of the North,,1050000,140000,1195000,,2,1,1,2385000,4
"ANZ Guam, Inc",240000,,1200000,943800,1,,3,10,2383800,14
Clear Lake Bank & Trust Company,125000,384500,1299310,563269,1,6,9,8,2372079,24
LegacyTexas Bank,290000,350000,1728000,,1,1,1,,2368000,3
First Harrison Bank,,,641000,1722500,,,3,2,2363500,5
Bank of Luxemburg,,510000,1041000,800000,,4,3,2,2351000,9
Southern Bancorp Bank,2347500,,,,2,,,,2347500,2
The Bank of Delmarva,585000,1409600,349000,,1,2,1,,2343600,4
"Business Resource Capital Specialty BIDCO, Inc.",200000,100000,600000,1437000,1,1,1,3,2337000,6
Oostburg State Bank,,370000,1799000,150000,,3,4,1,2319000,8
Evergreen Business Capital,909000,822300,511000,66800,6,6,7,2,2309100,21
"City First Bank of D.C., National Association",,1700000,,603000,,1,,1,2303000,2
VALUEBANK TEXAS,171000,500000,700000,932000,1,1,4,3,2303000,9
Peoples Bank & Trust,1525000,777000,,,2,1,,,2302000,3
First Dakota National Bank,142500,947800,175000,1030000,2,2,1,2,2295300,7
West Central Bank,,1992000,,300000,,3,,1,2292000,4
The Fauquier Bank,155000,1259300,555000,295000,4,6,4,5,2264300,19
Jonah Bank of Wyoming,339000,1553700,210000,158600,1,5,2,3,2261300,11
Equitable Bank,257500,548000,669300,784500,4,4,5,7,2259300,20
Allegacy FCU,,,1108200,1150500,,,2,4,2258700,6
Dime Community Bank,2249300,,,,4,,,,2249300,4
Solvay Bank,900000,425000,100000,820000,1,2,1,4,2245000,8
Tri City National Bank,75000,105000,808000,1254500,1,2,11,15,2242500,29
Bank of Springfield,453000,300000,946500,535000,3,3,4,2,2234500,12
Brooklyn Cooperative FCU,67500,757321,696322,711506,2,26,34,30,2232649,92
Fleetwood Bank,2232000,,,,3,,,,2232000,3
Parkside Financial Bank & Trust,,,2230000,,,,1,,2230000,1
Green Belt Bank & Trust,2000000,139000,,86700,1,1,,2,2225700,4
Legacy State Bank,,1424000,793000,,,2,2,,2217000,4
Faith Community United CU Inc.,300000,698000,701000,515000,2,6,4,7,2214000,19
Greater Hudson Bank,1497300,480000,235000,,7,3,1,,2212300,11
First National Bank Minnesota,1000000,,1000000,200000,1,,1,1,2200000,3
Lafayette Ambassador Bank,,490000,1117000,591000,,2,4,3,2198000,9
Bank of Washington,,,,2193800,,,,7,2193800,7
Coastal Heritage Bank,895000,830000,150000,315000,5,6,1,2,2190000,14
Ohnward Bank & Trust,23000,1191500,970000,,1,4,1,,2184500,6
The Honesdale National Bank,596500,573000,760000,255000,2,2,2,2,2184500,8
Lakestone Bank & Trust,,1008000,675600,500000,,6,2,3,2183600,11
Crescent CU,417000,849768,155000,760000,3,10,3,4,2181768,20
First National Bank and Trust Company of Weatherford,,708100,,1472000,,5,,3,2180100,8
Landmark National Bank,,1809600,294000,70600,,4,5,1,2174200,10
"First Community Bank of the Heartland, Inc.",,1859000,200000,110000,,3,1,1,2169000,5
"Summit Bank, National Association",1473300,690100,,,1,1,,,2163400,2
Old Second National Bank,162000,1196000,,804700,1,3,,4,2162700,8
Colombo Bank,,970000,,1175000,,1,,2,2145000,3
Northwest Community Bank,,170000,1923000,45000,,3,3,1,2138000,7
Lincoln Community Bank,360000,159400,830000,785000,2,2,2,2,2134400,8
Mechanics Cooperative Bank,153000,823400,618000,537000,3,10,7,7,2131400,27
The First National Bank of Henning,40000,561600,631241,894300,1,4,6,4,2127141,15
Centric FCU,670000,945000,114000,381700,2,2,1,3,2110700,8
The Farmers National Bank of Emlenton,,1730000,375000,,,3,1,,2105000,4
Sterling National Bank,,967500,635000,500000,,3,5,3,2102500,11
Mortgage Capital Development Corporation,350000,1050000,300000,400000,2,5,2,3,2100000,12
The Farmers State Bank,,500000,1600000,,,1,2,,2100000,3
Gesa CU,,,1035000,1058000,,,3,5,2093000,8
Foundation One Bank,,765000,430000,891500,,1,2,3,2086500,6
The Old Point National Bank of Phoebus,,,,2075800,,,,7,2075800,7
Planters Bank & Trust Company,,980100,,1088100,,1,,3,2068200,4
Carson Bank,,210200,386000,1465200,,4,4,5,2061400,13
First National Bank North,,2061000,,,,2,,,2061000,2
Americana Community Bank,300000,707900,300000,747100,1,2,1,1,2055000,5
Bank 7,,2050000,,,,1,,,2050000,1
First National Bank of Northern California,,260000,,1790000,,1,,2,2050000,3
Wildfire CU,719700,492500,288900,545600,2,2,2,1,2046700,7
First Reliance Bank,,,945000,1095500,,,1,2,2040500,3
Peoples Trust & Savings Bank,215000,1819600,,,1,2,,,2034600,3
First Federal Bank & Trust,,1750000,270000,,,2,4,,2020000,6
Passumpsic Savings Bank,226821,235500,178000,1371200,2,5,3,10,2011521,20
Educators CU,1059600,481400,99000,368000,5,5,3,5,2008000,18
Bank of the Flint Hills,,998700,1005100,,,1,1,,2003800,2
Rockhold Bank,,,2000000,,,,1,,2000000,1
St. Louis Bank,,,2000000,,,,1,,2000000,1
Warren Bank and Trust Company,,1000000,,1000000,,1,,1,2000000,2
Wisconsin River Bank,,642800,694700,661431,,4,7,5,1998931,16
Community Banking Company of Fitzgerald,,810000,1142800,36300,,2,3,1,1989100,6
Central State Bank,,,1986500,,,,4,,1986500,4
Community 1st Bank,,725000,823900,433100,,2,5,6,1982000,13
Central Bank of the Ozarks,665600,258000,1032000,25000,3,2,5,1,1980600,11
Bank of St. Francisville,,1980000,,,,1,,,1980000,1
TruFund Financial Services Inc,222000,785600,140000,830000,1,5,1,4,1977600,11
CapStar Bank,1400000,573900,,,1,1,,,1973900,2
Citizens Bank & Trust,,,1957400,,,,2,,1957400,2
PCR Small Business Development,115000,795000,150000,890000,1,6,1,7,1950000,15
Penn Community Bank,,1000000,898000,50000,,2,3,1,1948000,6
"Austin Bank, Texas National Association",140000,1268700,487000,50300,1,7,2,1,1946000,11
"First State Bank of the Southeast, Inc.",432000,1007100,500400,,2,7,4,,1939500,13
Home Federal Bank of Hollywood,,1938000,,,,1,,,1938000,1
Texas Brand Bank,,,,1937000,,,,1,1937000,1
United Republic Bank,,,475000,1456000,,,2,4,1931000,6
Grand Bank of Texas,,422000,645000,861100,,1,2,3,1928100,6
Grand River Bank,215000,860000,130000,715000,2,3,2,4,1920000,11
Navy FCU,,111500,285100,1518300,,1,2,6,1914900,9
Landmark CU,157200,746300,576700,431900,3,12,5,7,1912100,27
Herring Bank,,885100,1026300,,,1,1,,1911400,2
The Cooperative Bank,1139500,350000,70000,350000,4,1,2,1,1909500,8
"Accion Chicago, Inc.",158000,195000,790000,765600,2,3,11,13,1908600,29
Veridian CU,755000,,630000,520800,2,,5,3,1905800,10
S & T Bank,,,350000,1550000,,,1,1,1900000,2
American Heritage FCU,205500,1297000,271000,125000,1,1,2,1,1898500,5
Finance Fund Capital Corporation,216000,200000,580000,899900,1,2,3,4,1895900,10
Small Business Bank,310000,120000,,1456300,2,1,,10,1886300,13
Oconee State Bank,1885000,,,,4,,,,1885000,4
Town & Country Bank,,509000,73700,1293900,,1,2,7,1876600,10
First State Bank & Trust,307000,357000,383000,829200,1,2,3,5,1876200,11
"Land Bank South, FLCA",,,,1870000,,,,1,1870000,1
Oregonians CU,,787756,100000,980000,,3,1,2,1867756,6
"Home Bank, National Association",,752000,845100,264000,,2,1,1,1861100,4
Security National Bank of Omaha,,210000,1170000,471000,,2,6,2,1851000,10
First Federal of Northern Michigan,825000,420000,,596000,2,1,,2,1841000,5
USNY Bank,1060000,780000,,,1,1,,,1840000,2
Monson Savings Bank,,336000,610000,890600,,7,10,16,1836600,33
McCoy FCU,50000,1188600,55000,540000,1,8,1,3,1833600,13
Sharefax CU Inc,1482400,,350000,,1,,1,,1832400,2
Anstaff Bank,,,1832201,,,,3,,1832201,3
Citizens Trust Bank,1580300,,250000,,3,,1,,1830300,4
Raccoon Valley Bank,150000,1631000,,40000,1,5,,1,1821000,7
The First National Bank and Trust Company of Okmulgee,1820000,,,,1,,,,1820000,1
Mutual Savings Bank,1817200,,,,2,,,,1817200,2
Isabella Bank,258000,1025000,531000,,3,4,2,,1814000,9
Eagle Community Bank,30000,150000,1458500,175000,1,2,2,3,1813500,8
South Georgia Bank,,,1461500,351000,,,2,1,1812500,3
Dean Co-Operative Bank,400000,521000,791000,100000,2,6,5,3,1812000,16
First Federal Bank of Wisconsin,100000,1550000,160000,,1,1,2,,1810000,4
TotalBank,,,,1804400,,,,3,1804400,3
Glenwood State Bank Incorporated,302000,482000,876383,143000,2,7,7,1,1803383,17
Alden State Bank,,,863500,930000,,,3,5,1793500,8
Monona Bank,,345000,685000,757000,,2,3,8,1787000,13
Gwinnett Community Bank,,,,1786600,,,,1,1786600,1
BANK,,1780000,,,,2,,,1780000,2
Grand Bank,,,1780000,,,,2,,1780000,2
Sanibel Captiva Community Bank,,1080000,375000,320000,,3,1,1,1775000,5
The First National Bank of Syracuse,424100,331600,1007800,,5,5,1,,1763500,11
American Enterprise Bank,300500,347500,574000,537700,1,1,2,2,1759700,6
Reliabank Dakota,,1549900,20000,184900,,1,1,2,1754800,4
bankcda,475000,90800,484200,700000,5,2,9,3,1750000,19
Standing Stone Bank,,500000,1250000,,,1,1,,1750000,2
Lake Elmo Bank,350000,150000,459000,789000,2,1,3,6,1748000,12
Phoenixville Federal Bank and Trust,,,1723300,,,,2,,1723300,2
The Cortland Savings & Banking Co.,1097000,300000,112700,211500,6,2,2,2,1721200,12
River Bank,,1085000,478000,150000,,2,5,1,1713000,8
NewDominion Bank,,,1585000,125000,,,2,1,1710000,3
Community Bank of the Midwest,,1610100,,90000,,3,,1,1700100,4
West Pointe Bank,,695000,,1005000,,1,,2,1700000,3
Honor CU,,138000,480000,1074000,,1,1,2,1692000,4
Alliant Bank,,1690400,,,,2,,,1690400,2
Farmers-Merchants Bank & Trust Company,,,1685800,,,,1,,1685800,1
Neighborhood National Bank,149500,1015200,188000,332500,1,9,2,5,1685200,17
Rose Hill Bank,300000,,438000,941000,1,,2,2,1679000,5
"Bay Bank, FSB",466600,,1211000,,1,,4,,1677600,5
Southwest Missouri Bank,49000,308700,852500,462600,1,4,6,7,1672800,18
Bank Midwest,288500,636500,513600,234000,3,4,5,2,1672600,14
First National Bank and Trust Company,,1671000,,,,1,,,1671000,1
Citizens National Bank of Cheboygan,556000,789500,,321000,3,3,,1,1666500,7
The Commerce Bank,483000,270000,911600,,1,1,3,,1664600,5
Ozona National Bank,,,,1660200,,,,1,1660200,1
The Converse County Bank,1386500,175000,,95200,1,1,,1,1656700,3
Clear Mountain Bank,125700,839200,,685000,2,8,,1,1649900,11
CoastalStates Bank,1641500,,,,3,,,,1641500,3
Tulsa FCU,175000,612200,813200,40000,1,6,13,1,1640400,21
Trustco Bank,,373000,784000,476000,,3,7,4,1633000,14
Troy Bank & Trust Company,,1631000,,,,1,,,1631000,1
PrimeWay FCU,,160000,746000,716000,,2,7,8,1622000,17
Highlands State Bank,328000,1285000,,,1,3,,,1613000,4
Langley FCU,,277000,987000,348000,,2,11,6,1612000,19
The Exchange Bank,,,161000,1445000,,,1,1,1606000,2
Freeport State Bank,,372700,831300,395000,,5,3,3,1599000,11
Citizens Bank of Las Cruces,,1565000,30600,,,1,1,,1595600,2
German-American State Bank,402000,787500,80000,320000,3,4,1,5,1589500,13
"South Central Bank, National Association",,685000,479092,425000,,6,3,3,1589092,12
American Spirit FCU,,278000,301000,1007000,,2,2,2,1586000,6
The Bank of Kaukauna,290000,1147500,138000,,2,1,1,,1575500,4
The Pioneer National Bank of Duluth,1100000,,475000,,1,,2,,1575000,3
Oak Bank,300000,362000,910000,,2,2,2,,1572000,6
Bear State Bank,,,883700,678500,,,5,2,1562200,7
O'Bannon Banking Company,153000,775900,75600,555600,1,4,1,3,1560100,9
InterBank,,150000,1360000,50000,,1,1,1,1560000,3
Blue Gate Bank,1559500,,,,4,,,,1559500,4
CoastHills CU,100000,684800,110600,661000,1,3,1,2,1556400,7
Jewett City Savings Bank,881100,150000,270000,253400,6,1,2,2,1554500,11
Prince George's County Financial Services Corporation,250000,560000,364000,380000,1,4,2,3,1554000,10
River Bank & Trust,1553900,,,,2,,,,1553900,2
Forum CU,,,1200000,350000,,,2,1,1550000,3
Tioga State Bank,254500,652600,225000,415000,5,6,3,4,1547100,18
Bank of Charles Town,225600,130000,1164000,25000,1,1,5,1,1544600,8
Northfield Bank,,,1515000,25000,,,5,1,1540000,6
Community First CU,436600,153700,385000,560600,4,3,3,8,1535900,18
First Commerce CU,,973000,560000,,,3,2,,1533000,5
"Premier Bank, Inc.",951800,350000,225000,,5,1,1,,1526800,7
Commercial Banking Company,,1091000,431900,,,4,2,,1522900,6
North Shore Bank of Commerce,,620000,350000,550000,,6,1,2,1520000,9
Fairfield County Bank,,,387500,1127500,,,3,4,1515000,7
Grant County State Bank,,,,1510000,,,,1,1510000,1
Mid-Atlantic FCU,,,1188200,317000,,,2,1,1505200,3
Coastal Carolina National Bank,350000,390000,561300,200000,1,2,2,1,1501300,6
Community First Banking Company,380000,240000,60000,820000,1,2,1,2,1500000,6
Iroquois Federal Savings & Loan Association,,1500000,,,,1,,,1500000,1
Oklahoma Bank and Trust Company,,1500000,,,,1,,,1500000,1
Union State Bank,186000,709000,600000,,1,4,2,,1495000,7
Dakota Certified Development Company,353300,721000,131200,287825,4,6,2,2,1493325,14
